Name,WAR,WAR7,JAWS,Yrs,From,To,ASG,W,L,W-L%,ERA,ERA+,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF
Roger Clemens,139.6,66,102.8,24,1984,2007,11,354,184,0.658,3.12,143,709,707,0,118,46,0,4916.2,4185,1885,1707,363,1580,63,4672,159,20,143,20240
Curt Schilling,79.6,48.7,64.1,20,1988,2007,6,216,146,0.597,3.46,127,569,436,81,83,20,22,3261,2998,1318,1253,347,711,43,3116,52,8,72,13284
Mike Mussina,83,44.6,63.8,18,1991,2008,5,270,153,0.638,3.68,123,537,536,0,57,23,0,3562.2,3460,1559,1458,376,785,29,2813,60,1,71,14593
Roy Halladay,64.3,50.6,57.5,16,1998,2013,8,203,105,0.659,3.38,131,416,390,6,67,20,1,2749.1,2646,1135,1034,236,592,28,2117,81,9,56,11287
Andy Pettitte,60.3,34.1,47.2,18,1995,2013,3,256,153,0.626,3.85,117,531,521,3,26,4,0,3316,3448,1572,1418,288,1031,42,2448,55,11,69,14074
Roy Oswalt,50.1,40.3,45.2,13,2001,2013,3,163,102,0.615,3.36,127,365,341,7,20,8,0,2245.1,2199,897,838,197,520,34,1852,80,7,30,9301
Derek Lowe,34.4,28.5,31.5,17,1997,2013,2,176,157,0.529,4.03,109,681,377,168,10,4,86,2671.1,2759,1333,1195,217,794,67,1722,78,13,55,11358
Freddy Garcia,34.4,27.5,30.9,15,1999,2013,2,156,108,0.591,4.15,107,376,357,13,12,4,0,2264,2243,1101,1045,285,708,42,1621,67,9,95,9595
Ted Lilly,27.1,24.6,25.9,15,1999,2013,2,130,113,0.535,4.14,106,356,331,5,5,3,0,1982.2,1827,974,913,293,661,35,1681,63,29,58,8390
Jon Garland,22.5,19.6,21.1,13,2000,2013,1,136,125,0.521,4.37,103,365,342,9,11,6,1,2151.1,2260,1149,1045,263,723,39,1156,63,1,50,9197
Clayton Kershaw,64.6,49.6,57.1,11,2008,2018,7,153,69,0.689,2.39,159,318,316,1,25,15,0,2096.1,1570,609,557,145,536,27,2275,31,19,81,8252
Zack Greinke,65.7,47.3,56.5,15,2004,2018,5,187,118,0.613,3.39,124,455,414,8,16,5,1,2663.1,2486,1078,1002,271,637,23,2435,65,5,84,10919
Justin Verlander,63.4,46.2,54.8,14,2005,2018,7,204,123,0.624,3.39,126,419,419,0,24,8,0,2759,2398,1124,1039,272,808,27,2706,92,19,83,11346
CC Sabathia,62.7,39.4,51,18,2001,2018,6,246,153,0.617,3.7,117,538,538,0,38,12,0,3470,3292,1559,1426,355,1060,44,2986,120,17,74,14521
Max Scherzer,54.5,47.2,50.9,11,2008,2018,6,159,82,0.66,3.22,131,338,329,2,10,5,0,2117.2,1739,817,757,236,585,17,2449,78,7,65,8585
Cole Hamels,56.4,37.6,47,13,2006,2018,4,156,114,0.578,3.4,124,395,394,0,17,7,0,2553,2280,1036,964,293,710,42,2415,93,14,56,10484
Felix Hernandez,50.9,38.6,44.7,14,2005,2018,6,168,128,0.568,3.34,120,404,403,0,25,11,0,2658,2402,1099,986,247,780,16,2467,99,7,151,10959
