Name,HoF,WAR,WAR7,JAWS,Yrs,From,To,ASG,W,L,W-L%,ERA,ERA+,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF
Johan Santana,0,51.6,45,48.3,12,2000,2012,4,139,78,0.641,3.2,136,360,284,23,15,10,1,2025.2,1726,773,721,220,567,13,1988,36,12,68,8262
Jamie Moyer,0,49.9,32.9,41.4,25,1986,2012,1,269,209,0.563,4.25,103,696,638,15,33,10,0,4074,4231,2076,1926,522,1155,69,2441,146,12,57,17356
Carlos Zambrano,0,44,38.4,41.2,12,2001,2012,3,132,91,0.592,3.66,120,354,302,11,10,5,0,1959,1709,879,797,161,898,41,1637,102,5,58,8389
Chris Carpenter,0,34.1,29.4,31.8,15,1997,2012,3,144,94,0.605,3.76,116,350,332,6,33,15,0,2219.1,2205,1021,927,220,627,23,1697,85,3,51,9305
Livan Hernandez,0,30.2,27.5,28.9,17,1996,2012,2,178,177,0.501,4.44,95,519,474,17,50,9,1,3189,3525,1686,1572,362,1066,86,1976,78,13,41,13816
Kevin Millwood,0,29.8,24.9,27.4,16,1997,2012,1,169,152,0.526,4.11,106,451,443,3,22,6,0,2720.1,2770,1357,1243,296,843,46,2083,74,4,67,11616
Tim Wakefield,0,34.3,24.7,29.5,19,1992,2011,1,200,180,0.526,4.41,105,627,463,78,33,6,22,3226.1,3152,1791,1582,418,1205,33,2156,186,8,134,13939
Mike Hampton,0,28.3,25.3,26.8,16,1993,2010,2,148,115,0.563,4.06,107,419,355,12,21,9,1,2268.1,2370,1157,1024,200,901,49,1387,49,13,75,9824
Randy Johnson,1,101.1,61.5,81.3,22,1988,2009,10,303,166,0.646,3.29,135,618,603,7,100,37,2,4135.1,3346,1703,1513,411,1497,37,4875,190,33,109,17067
Pedro Martinez,1,84,58.3,71.2,18,1992,2009,8,219,100,0.687,2.93,154,476,409,23,46,17,3,2827.1,2221,1006,919,239,760,30,3154,141,6,62,11394
John Smoltz,1,69.1,38.8,53.9,21,1988,2009,8,213,155,0.579,3.33,125,723,481,204,53,16,154,3473,3074,1391,1284,288,1010,84,3084,57,16,145,14271
Jason Schmidt,0,29.6,27.2,28.4,14,1995,2009,3,130,96,0.575,3.96,110,323,314,1,20,9,0,1996.1,1846,958,878,184,792,35,1758,52,11,93,8532
Greg Maddux,1,106.7,56.3,81.5,23,1986,2008,8,355,227,0.61,3.16,132,744,740,3,109,35,0,5008.1,4726,1981,1756,353,999,177,3371,137,28,70,20421
Tom Glavine,1,80.8,44.2,62.5,22,1987,2008,10,305,203,0.6,3.54,118,682,682,0,56,25,0,4413.1,4298,1900,1734,356,1500,145,2607,66,7,65,18604
Kenny Rogers,0,50.7,35.2,43,20,1989,2008,4,219,156,0.584,4.27,107,762,474,133,36,9,28,3302.2,3457,1739,1568,339,1175,53,1968,127,23,79,14280
David Wells,0,53.6,31.5,42.5,21,1987,2007,3,239,157,0.604,4.13,108,660,489,65,54,12,13,3439,3635,1702,1578,407,719,65,2201,83,17,101,14413
Woody Williams,0,30.3,22,26.1,15,1993,2007,1,132,116,0.532,4.19,103,424,330,34,10,2,0,2216.1,2217,1096,1031,309,711,40,1480,72,6,58,9475
Brad Radke,0,45.4,36.2,40.8,12,1995,2006,1,148,139,0.516,4.22,113,378,377,0,37,10,0,2451,2643,1233,1150,326,445,12,1467,62,3,28,10244
