Name,HoF,WAR,WAR7,JAWS,Yrs,From,To,ASG,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+
Ivan Rodriguez,1,68.7,39.8,54.3,21,1991,2011,14,2543,10270,9592,1354,2844,572,51,311,1332,127,64,513,1474,0.296,0.334,0.464,0.798,106
Jorge Posada,0,42.8,32.7,37.7,17,1995,2011,5,1829,7150,6092,900,1664,379,10,275,1065,20,21,936,1453,0.273,0.374,0.474,0.848,121
Jason Varitek,0,24.2,18.8,21.5,15,1997,2011,3,1546,5839,5099,664,1307,306,14,193,757,25,18,614,1216,0.256,0.341,0.435,0.776,99
Jason Kendall,0,41.7,30.4,36,15,1996,2010,3,2085,8702,7627,1030,2195,394,35,75,744,189,89,721,686,0.288,0.366,0.378,0.744,95
Brad Ausmus,0,16.5,15.1,15.8,18,1993,2010,1,1971,7102,6279,718,1579,270,34,80,607,102,53,634,1034,0.251,0.325,0.344,0.669,75
Paul Lo Duca,0,17.9,18.7,18.3,11,1998,2008,4,1082,4302,3892,483,1112,222,8,80,481,20,19,266,295,0.286,0.337,0.409,0.746,97
Mike Piazza,1,59.6,43.1,51.4,16,1992,2007,12,1912,7745,6911,1048,2127,344,8,427,1335,17,20,759,1113,0.308,0.377,0.545,0.922,142
Sandy Alomar,0,13.7,13.1,13.4,20,1988,2007,6,1377,4865,4530,520,1236,249,10,112,588,25,24,212,499,0.273,0.309,0.406,0.716,86
Javy Lopez,0,29.7,24.9,27.3,15,1992,2006,3,1503,5793,5319,674,1527,267,19,260,864,8,19,357,969,0.287,0.337,0.491,0.828,112
Benito Santiago,0,27.3,18.5,22.9,20,1986,2005,5,1978,7516,6951,755,1830,323,41,217,920,91,69,430,1270,0.263,0.307,0.415,0.722,93
Charles Johnson,0,22.6,20.4,21.5,12,1994,2005,2,1188,4386,3836,465,940,211,4,167,570,6,10,475,997,0.245,0.33,0.433,0.762,97
Terry Steinbach,0,28,21.6,24.8,14,1986,1999,3,1546,5905,5369,638,1453,273,21,162,745,23,22,418,938,0.271,0.326,0.42,0.746,102
Mickey Tettleton,0,29.4,24.7,27.1,14,1984,1997,2,1485,5745,4698,711,1132,210,16,245,732,23,29,949,1307,0.241,0.369,0.449,0.818,122
Tony Pena,0,24.7,24.7,24.7,18,1980,1997,5,1988,7073,6489,667,1687,298,27,107,708,80,63,455,846,0.26,0.309,0.364,0.673,84
